time, abundance
0.00, 5.2544e6
3.9619, 5.7781e6
7.9373, 5.8479e6
11.9817, 4.8005e6
20.6629, 4.3117e6
16.0238, 4.6958e6
24.7725, 3.6484e6
28.0196, 3.5087e6
32.0619, 3.3342e6
36.1729, 2.0948e6
40.1495, 1.6584e6
44.2587, 1.2045e6
48.0361, 9.601e5
52.0118, 9.0773e5
56.1198, 9.4264e5
60.0297, 7.3317e5
67.1858, 6.808e5
72.4868, 5.9352e5
