time,abundance
0.1229, 2.1095e7
3.9242, 2.8011e7
8.0402, 2.5556e7
16.1153, 2.6894e7
20.548, 2.4442e7
24.8242, 3.1363e7
27.9906, 3.0147e7
31.9493, 3.269e7
36.2248, 3.6487e7
40.0258, 4.1528e7
44.3038, 5.7199e7
47.9456, 5.8489e7
52.0638, 6.6659e7
56.022, 6.6702e7
59.9802, 6.6745e7
67.106, 7.1822e7
72.4893, 7.2505e7
