time,abundance
0.307, 1.511e8
0.1276, 4.4845e7
3.9285, 5.0511e7
7.8881, 5.7429e7
12.0044, 5.5599e7
16.1207, 5.4394e7
20.5542, 5.5692e7
24.6721, 6.2611e7
28.1552, 6.2024e7
32.1155, 7.2692e7
36.0744, 7.586e7
40.0339, 8.2153e7
44.1492, 7.5948e7
47.9525, 9.3489e7
51.9111, 9.5407e7
56.0255, 8.4202e7
60.1414, 8.1121e7
67.1091, 8.7447e7
72.4961, 1.0688e8
